CIty_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
225,Senno,59.5336,33.9167,58.78,92,100,9.28,RU,Rain
226,Barrancabermeja,7.0653,-73.8547,85.05,67,79,0.45,CO,Clouds
227,Rawson,-43.3002,-65.1023,54.19,53,83,8.32,AR,Clouds
228,Sibu,2.3,111.8167,73.44,99,100,0.67,MY,Rain
229,Zhezkazgan,47.8043,67.7144,60.58,41,57,8.86,KZ,Clouds
230,Pauini,-7.7136,-66.9764,96.42,25,98,0.89,BR,Clouds
231,Sotouboua,8.5667,0.9833,72.01,92,100,2.55,TG,Clouds
232,Pavlohrad,48.5167,35.8667,67.15,50,86,7.72,UA,Clouds
233,General Roca,-39.0333,-67.5833,66.74,17,72,6.35,AR,Clouds
234,Tasiilaq,65.6145,-37.6368,46.56,90,91,12.93,GL,Clouds
235,Hamilton,39.1834,-84.5333,85.6,52,75,1.99,US,Clouds
236,Saurimo,-9.6608,20.3916,71.01,50,8,2.46,AO,Clear
237,Bac Lieu,9.285,105.7244,79.74,82,100,3.02,VN,Clouds
238,Salinopolis,-0.6136,-47.3561,82.13,75,99,9.93,BR,Clouds
239,Knysna,-34.0363,23.0471,53.11,88,0,5.23,ZA,Clear
240,The Valley,18.217,-63.0578,85.1,83,26,20.2,AI,Clouds
241,Luderitz,-26.6481,15.1594,63.99,34,0,11.5,NA,Clear
242,Saravan,39.7196,45.6483,66.85,69,100,5.21,AM,Clouds
243,Severo-Kurilsk,50.6789,156.125,54.0,86,35,8.43,RU,Clouds
244,San Blas,21.5167,-105.2667,94.89,66,85,9.35,MX,Clouds
245,Wukari,7.85,9.7833,76.01,85,56,3.78,NG,Clouds
246,Atbasar,51.8,68.3333,59.31,53,58,3.2,KZ,Clouds
247,Airai,-8.9266,125.4092,54.43,74,4,3.31,TL,Clear
248,Villagran,20.5167,-100.9833,77.0,42,71,6.73,MX,Clouds
249,Batagay-Alyta,67.8006,130.4114,43.09,82,100,3.2,RU,Clouds
250,Tocopilla,-22.092,-70.1979,64.72,66,44,5.82,CL,Clouds
251,Itoman,26.1247,127.6694,80.62,94,20,12.66,JP,Clouds
252,Gorontalo,0.5412,123.0595,72.81,95,30,3.06,ID,Clouds
253,Sakaiminato,35.55,133.2333,75.31,80,100,12.59,JP,Clouds
254,Libreville,0.3925,9.4537,78.82,89,40,10.36,GA,Clouds
255,Thompson,55.7435,-97.8558,77.16,53,75,10.36,CA,Clouds
256,Itupiranga,-5.1347,-49.3267,90.54,42,81,5.48,BR,Clouds
257,Tobermory,45.2501,-81.6665,68.31,55,1,16.69,CA,Clear
258,Gawler,-34.6,138.7333,52.36,81,5,4.05,AU,Clear
259,Iskilip,40.7353,34.4739,62.83,74,0,6.31,TR,Clear
260,Camacha,33.0833,-16.3333,72.36,78,20,10.36,PT,Clouds
261,San Quintin,30.4833,-115.95,78.22,61,0,15.99,MX,Clear
262,Umm Kaddadah,13.6017,26.6876,75.02,67,100,16.58,SD,Clouds
263,Ahipara,-35.1667,173.1667,52.43,70,52,7.85,NZ,Clouds
264,Sapa,5.1544,120.3241,81.84,80,95,10.8,PH,Clouds
265,Karasjok,69.4719,25.5112,46.51,75,100,6.8,NO,Clouds
266,Wageningen,51.9667,5.6667,67.01,85,18,4.03,NL,Clouds
267,Salym,60.0625,71.4789,59.31,79,0,6.22,RU,Clear
268,Ola,59.5833,151.2833,55.69,91,100,1.74,RU,Clouds
269,Teya,60.3778,92.6267,52.02,95,76,3.0,RU,Clouds
270,Bulgan,48.8125,103.5347,56.61,89,100,0.43,MN,Clouds
271,Vila Velha,-20.3297,-40.2925,73.81,75,58,8.59,BR,Clouds
272,La Primavera,5.4906,-70.4092,74.07,90,100,4.74,CO,Rain
273,Zeya,53.75,127.2667,56.52,80,0,2.57,RU,Clear
274,Mayo,38.8876,-76.5119,93.34,64,54,4.0,US,Clouds
275,Port-Cartier,50.0334,-66.8654,66.42,100,100,1.12,CA,Clouds
276,Sorong,-0.8833,131.25,76.91,87,100,4.07,ID,Clouds
277,Leningradskiy,69.3833,178.4167,39.94,93,100,22.7,RU,Rain
278,Ribeira Grande,38.5167,-28.7,75.6,78,40,0.0,PT,Clouds
279,Padilla,3.2204,-76.3139,79.18,66,98,1.43,CO,Clouds
280,Nioaque,-21.1353,-55.83,88.16,28,1,4.5,BR,Clear
281,Cayenne,4.9333,-52.3333,87.84,78,67,4.0,GF,Clouds
282,Sorland,67.667,12.6934,51.82,76,37,21.92,NO,Clouds
283,Roseau,15.3017,-61.3881,80.73,78,100,4.65,DM,Rain
284,Antofagasta,-23.65,-70.4,62.02,68,26,7.4,CL,Clouds
285,Casino,-28.8667,153.05,57.02,98,11,2.68,AU,Clouds
286,Hofn,64.2539,-15.2082,50.92,91,100,12.86,IS,Clouds
287,Gull Lake,50.1001,-108.4847,94.77,15,0,11.41,CA,Clear
288,Nautla,20.2167,-96.7833,88.77,58,20,13.13,MX,Clouds
289,Ndele,8.4109,20.6473,70.68,97,93,2.77,CF,Rain
290,Deputatskiy,69.3,139.9,39.24,78,77,2.62,RU,Clouds
291,Storm Lake,42.6411,-95.2097,85.35,36,1,6.91,US,Clear
292,Victoria,22.2855,114.1577,82.45,88,100,7.25,HK,Rain
293,Providencia,28.7167,-111.5833,98.62,51,24,7.0,MX,Clouds
294,Klyuchi,52.2667,79.1667,58.05,64,99,4.79,RU,Clouds
295,Taltal,-25.4,-70.4833,60.85,66,23,7.0,CL,Clouds
296,Mayna,54.1135,47.6231,60.71,83,100,5.37,RU,Rain
297,La Ronge,55.1001,-105.2842,86.32,26,61,12.71,CA,Clouds
298,Saint-Denis,48.9167,2.3333,78.12,50,0,3.44,FR,Clear
299,Ban Nahin,18.2418,104.2122,75.04,100,100,2.59,LA,Rain
300,Sambava,-14.2667,50.1667,69.6,85,32,14.72,MG,Rain
301,Padang,-0.9492,100.3543,75.78,94,100,4.63,ID,Clouds
302,Grand Gaube,-20.0064,57.6608,70.38,76,36,5.99,MU,Rain
303,Ponta Delgada,37.7333,-25.6667,74.12,83,40,10.36,PT,Clouds
304,Port Blair,11.6667,92.75,80.73,86,100,11.99,IN,Clouds
305,Zhangjiakou,40.81,114.8794,63.99,96,100,4.07,CN,Rain
306,Yulara,-25.2406,130.9889,53.19,44,6,10.33,AU,Clear
307,Barcelona,41.3888,2.159,88.61,81,0,5.75,ES,Clear
308,Panguna,-6.3164,155.4848,68.22,94,100,2.1,PG,Clouds
309,Nome,64.5011,-165.4064,48.27,93,90,14.97,US,Rain
310,Arawa,-6.2132,155.5367,76.8,90,100,2.82,PG,Clouds
311,Kjollefjord,70.9457,27.3465,46.89,85,63,7.4,NO,Clouds
312,Pedasi,7.5333,-80.0333,78.87,82,100,12.33,PA,Clouds
313,Makakilo City,21.3469,-158.0858,82.62,64,13,18.37,US,Clouds
314,Gorin,51.1983,136.6669,55.31,93,31,2.04,RU,Clouds
315,Staryy Nadym,65.6118,72.6842,66.6,70,100,14.38,RU,Clouds
316,Putina,-15.4667,-69.4333,51.31,37,3,9.6,PE,Clear
317,Imeni Morozova,59.9757,31.0376,64.44,95,96,9.64,RU,Clouds
318,Khor,47.8861,134.9464,59.63,84,94,3.94,RU,Clouds
319,Ilulissat,69.2167,-51.1,55.42,67,75,12.66,GL,Rain
320,Prieska,-29.6641,22.7474,45.75,88,2,9.26,ZA,Clear
321,Outjo,-20.1167,16.15,66.7,20,0,2.91,NA,Clear
322,Dzaoudzi,-12.7887,45.2699,73.29,88,0,0.0,YT,Clear
323,Zholymbet,51.7433,71.7122,56.5,65,65,5.48,KZ,Clouds
324,Svetlyy,54.675,20.1347,60.85,76,96,8.1,RU,Clouds
325,Saint-Augustin,51.226,-58.6502,71.06,74,37,9.44,CA,Clouds
326,Rafraf,37.1904,10.1837,82.71,73,0,7.74,TN,Clear
327,Los Llanos De Aridane,28.6585,-17.9182,75.13,80,40,16.11,ES,Clouds
328,Zhigansk,66.7697,123.3711,46.08,84,100,12.93,RU,Clouds
329,Aykhal,66.0,111.5,47.75,91,100,8.86,RU,Clouds
